NO.,SC,BC,EEI,Actual intensity level
1,0.53,15.04,9,2
2,0.41,29.73,7.3,1
3,0.38,17.55,9,1
4,0.31,24.11,9.3,2
5,0.34,23.97,6.6,2
6,0.27,21.69,5,2
7,0.44,26.87,5.5,1
8,0.38,28.43,5,2
9,0.82,18.46,3.8,2
10,0.77,17.5,5,3
11,0.32,21.69,5,2
12,0.38,21.67,5,2
13,0.36,24.14,5,2
14,0.42,21.69,5,2
15,0.1,23,5.7,0
16,0.35,20.5,5,2
17,0.11,31.23,7.4,0
18,0.23,27.78,7.8,0
19,0.23,7.52,1.5,0
20,0.23,10.75,2.5,0
21,0.6,8.09,2.5,0
22,0.34,11.77,4.6,0
23,0.49,12.4,4.6,1
24,0.77,11.46,4.6,1
25,0.7,13.24,5.2,2
26,0.43,8.83,3.7,2
27,0.86,13.34,8.1,3
28,0.23,10.17,2.5,2
29,0.23,11.48,4.6,2
30,0.22,14.44,5.2,2
31,0.29,9.8,3.7,2
32,0.44,20.35,8.1,3
33,0.62,8.26,1.8,1
34,0.64,17.54,7.2,3
35,0.56,9.74,7.27,2
36,0.62,14.05,5.76,2
37,0.56,11.11,3.97,2
38,0.28,9.68,1.92,0
39,0.63,10.76,3.62,3
40,0.7,11.74,2.78,2
41,0.48,10,1.1,0
42,1.05,8.26,1.33,0
43,0.98,11.51,3.11,2
44,0.51,8.06,3.97,2
45,0.58,9.89,5.76,2
46,0.47,7.58,7.27,3
47,0.65,10.1,2.47,1
48,0.85,11.28,0.88,0
49,0.58,10.1,2.47,1
50,0.47,18,2.96,2
51,0.51,18,2.96,2
52,0.81,11.28,0.88,0
53,0.93,11.28,0.88,0
54,0.63,4.48,3.17,1
55,0.44,8.98,4.86,1
56,0.9,6.84,2.15,1
57,0.56,9.5,6.11,1
58,0.7,12.05,2.85,1
59,0.4,16.04,3.5,1
60,0.44,13.13,2.12,1
61,0.58,24.44,6.31,2
62,0.13,6.67,1.39,0
63,0.37,24,5.1,1
64,0.45,11.24,2.03,1
65,0.64,24.44,6.31,2
66,0.19,6.67,1.39,0
67,0.48,24,5.1,2
68,0.65,11.24,2.03,2
69,0.74,24.44,6.31,3
70,0.23,6.67,1.39,0
71,0.61,24,5.1,2
72,1,11.24,2.03,3
73,0.55,5.53,6.3,2
74,0.78,11.53,7.2,2
75,0.78,5.53,6.3,2
76,1.1,11.53,7.2,2
77,0.68,13.59,8.31,2
78,0.89,5.53,6.3,3
79,1.26,11.53,7.2,3
80,0.78,13.59,8.31,3
81,3.69,11.53,7.2,3
82,2.47,6.3,21,3
83,4.49,11.53,7.2,3
84,3,6.3,21,3
85,0.46,20.41,2,1
86,0.29,26.67,0.85,1
87,0.44,19.81,2.3,1
88,0.14,23.61,1.5,0
89,0.2,25.12,2.4,1
90,0.28,25.64,2.3,1
91,0.39,22.18,3.4,1
92,0.44,24.38,3.2,1
93,0.36,24.38,3.2,1
94,0.27,24.38,3.2,1
95,0.18,23.83,2.5,0
96,0.58,13.18,6.27,3
97,0.45,17.53,5.08,1
98,0.39,20.86,4.63,2
99,0.28,28.88,3.67,1
100,0.2,36.08,2.29,0
101,0.19,47.97,1.87,0
102,0.66,13.2,6.83,3
103,0.22,33.75,2.98,1
104,0.11,14.71,4.83,2
105,0.1,15.19,4.39,2
106,0.1,14.28,4.99,3
107,0.1,14.61,4.4,2
108,0.14,9.54,2.4,0
109,0.18,8.89,2.07,0
110,0.11,9.85,3,0
111,0.21,12.36,3,2
112,0.21,11.58,2.77,0
113,0.23,11.78,2.86,1
114,0.23,14.23,3.17,1
115,0.12,13.08,2.49,1
116,0.19,14.54,3.63,3
117,0.17,25.7,2.38,1
118,0.31,35.89,2.15,2
119,0.11,29.7,1.77,0
120,0.14,28.17,2.15,0
121,0.34,39.42,2.37,1
122,0.31,43.11,2.4,2
123,0.33,69.69,3.29,1
124,0.25,9.77,2.57,1
125,0.22,14.7,4.1,2
126,0.17,9.67,2.81,1
127,0.22,12.95,3.59,2
128,0.14,14.05,1.3,0
129,0.1,20.77,3.8,0
130,0.79,12.61,2.23,1
131,0.59,17.38,3.41,1
132,0.48,16.99,10.9,3
133,0.85,8.2,5.3,1
134,0.3,31.58,2.84,1
135,0.36,20.5,5,2
136,0.1,14.86,4.14,1
137,0.11,15.16,4.04,1
138,0.11,14.94,4.2,2
139,0.4,5.38,5.1,0
140,0.6,25.51,2.53,1
141,0.82,16.87,2.87,1
142,0.29,23.17,0.81,0
143,0.23,24.83,4.39,0
144,0.4,24.8,6.53,1
145,0.67,24.51,6.14,2
146,0.46,24.51,4.61,1
147,0.26,24.51,0.81,0
148,0.4,14.74,7.08,2
149,0.54,14.78,6.43,2
150,0.26,14.34,2.9,1
151,0.43,29.9,2.4,1
152,0.56,34.33,1.9,1
153,0.6,28.35,3.4,2
154,0.54,21,3.6,2
155,0.66,21.59,4.1,2
156,0.53,17.84,4.3,2
157,0.41,35.63,3.8,2
158,0.61,25.62,3.7,2
159,0.56,29.21,4.8,2
160,0.71,32.24,5.5,3
161,0.49,49.57,4.7,2
162,0.46,45.56,3.7,1
163,0.47,55,5,2
164,0.26,42.96,3.7,1
165,0.31,36.15,3.2,1
166,0.31,42.86,1.8,0
167,0.34,28.39,3,1
168,0.62,25.04,3.7,2
169,0.56,31.35,4.6,2
170,0.7,32.15,5.9,3
171,0.51,50.91,5.2,2
172,0.43,13.98,7.44,2
173,0.2,65.45,6.14,2
174,0.2,64.23,6.53,2
175,0.2,66.75,3.22,2
176,0.21,61.79,6.92,2
177,0.11,29.38,2.04,0
178,0.11,40.45,2.19,1
179,0.12,34.15,2.11,1
180,0.14,31.21,2.26,1
181,0.81,16.71,5,1
182,0.56,24.41,6,1
183,0.59,22.94,5,1
184,0.54,17.53,6.6,1
185,0.59,22.94,5,2
186,0.54,17.53,6.6,2
187,0.4,14.73,7.1,2
188,0.55,14.75,6.4,2
189,0.54,14.19,6.16,3
190,0.21,24.24,4.6,1
191,0.28,23.53,4.9,2
192,0.32,21.33,5.3,2
193,0.28,23.88,4.8,1
194,0.34,23.97,6.6,3
195,0.11,27.22,7,0
196,0.23,25.25,7.6,1
197,0.72,13.59,1.6,0
198,0.13,18.75,3.6,0
199,0.35,24.58,8,1
200,0.32,18.96,5.6,3
201,0.27,24.74,9,3
202,0.1,21.43,4.7,0
203,0.36,23.97,5,2
204,0.3,20.41,5,1
205,0.11,31.4,7.4,0
206,0.35,20.5,5,1
207,0.4,80,5.8,2
208,0.55,76.67,5.7,2
209,0.43,13.98,7.4,2
210,0.45,73.33,5.7,2
211,0.54,15.41,6.43,2
212,1.72,13.18,6.27,3
213,2.22,17.52,5.08,1
214,2.57,20.85,4.63,2
215,3.57,28.89,3.67,1
216,5,35.83,2.29,0
217,5.29,47.97,1.87,0
218,1.52,13.19,6.83,3
219,0.55,14.72,6.43,2
220,0.54,14.11,6.2,2
221,0.39,21.35,7.1,3
222,0.32,23.78,8.9,2
223,0.47,25.06,6.3,2
224,0.47,11.11,3.97,2
225,0.3,25,5.2,2
226,0.58,31.15,6.9,2
227,0.46,24.03,5.8,1
228,0.5,25.78,7.1,3
229,0.4,18.86,6.9,3
230,0.44,28.57,4.7,2
231,0.23,29.25,7.9,0
232,0.77,17.5,5.5,2
233,0.34,21.92,4.9,2
234,0.27,21.34,5,2
235,0.43,45.92,1.7,0
236,0.65,12.12,10,3
237,0.24,14.56,10.57,3
238,0.77,17.55,5.5,3
239,0.22,13.57,9.1,3
240,0.3,21,7.8,3
241,0.4,13.12,7.3,3
242,0.38,28.43,5,3
243,0.41,26.4,5.2,3
244,0.53,14.11,5.76,2
245,0.48,9.76,7.27,2
246,0.62,20,3.1,2
247,0.67,26.8,0.85,1
248,0.9,25.7,0.9,3
249,0.83,28.9,3.2,3
250,0.93,28.9,3.2,3
251,0.74,28.9,3.2,2
252,1.41,19.2,3.1,3
253,0.79,22,2,2
254,0.56,20.4,2,1
255,0.24,26.8,0.85,1
256,0.63,19.7,0.85,2
257,0.49,19.7,2.3,1
258,0.84,19.7,2.3,2
259,0.42,19.7,2.3,1
260,0.46,19.7,2.3,1
261,0.85,27.3,3.1,2
262,0.51,27.3,3.1,2
263,0.57,25.63,3.8,2
264,0.46,45.56,5.2,2
265,0.48,10.06,1.1,0
266,5.26,48.21,1.87,0
267,4.55,33.84,2.89,1
268,0.21,24.3,4.6,1
269,0.28,23.6,4.9,1
270,0.32,21.3,5.3,2
271,0.28,23.8,4.8,1
272,0.52,21.2,5.5,2
273,0.65,28.59,6.8,3
274,0.52,24.6,7.3,2
275,0.1,79.97,0.35,0
276,0.14,73.62,0.2,0
277,0.24,72.5,0.02,0
278,0.11,69.38,0.15,0
279,0.05,67.53,0.01,0
280,0.13,74.05,0.51,0
281,0.31,39.53,2.02,1
282,0.31,35.62,2.15,1
283,0.4,37.96,2.07,1
284,0.3,28.36,2.04,1
285,0.34,36.37,2.02,1
286,0.35,37.53,2.27,1
287,0.51,15.91,4.2,2
288,0.65,18.2,4.24,2
289,0.69,23.56,4.8,2
290,0.7,15.19,4.75,2
291,0.54,19.55,4.19,2
292,0.65,14.85,4.19,2
293,0.63,18.99,4.65,2
294,0.69,15.02,3.62,2
295,0.82,10.62,5.98,3
296,0.76,6.29,5.9,3
297,0.98,10.14,6.2,3
298,0.76,2.25,6.41,3
299,0.25,78.65,0.14,0
300,0.1,71.87,0.03,0
301,0.43,39.39,2.43,1
302,0.35,35.55,2.13,1
303,0.65,23.12,4.51,2
304,0.98,8.87,7.88,3
305,0.83,16.73,2.86,0
306,0.72,33.71,2.53,1
307,0.82,21.96,2.87,0
308,0.51,19.24,7.6,1
309,0.44,120,5.7,1
310,0.29,24.77,5,2
311,0.49,13.37,6.5,2
312,0.77,17.5,5.5,3
313,0.37,12.7,3.2,1
314,0.69,9.74,4.9,3
315,0.05,13.43,6.9,0
316,0.22,13.57,9.1,2
317,0.36,7.59,7.5,1
318,0.78,17.97,1.9,3
319,0.35,8.84,4.68,1
320,0.61,7.58,7.27,3
321,0.44,13.43,6.38,3
322,0.35,14.56,10.57,3
323,0.47,21.77,3.17,1
324,0.49,13.4,6.53,2
325,0.14,30.77,2.22,0
326,0.13,30.77,2.22,0
327,0.44,15.04,9,2
328,0.38,17.55,9,2
329,0.82,9.89,5.76,3
330,0.35,33.33,5.76,2
331,0.34,22.06,6.38,3
332,0.25,20.77,3.8,0
333,0.15,20.77,3.8,0
334,0.58,13.2,6.3,3
335,0.45,17.5,5.1,2
336,0.39,20.9,4.6,2
337,0.66,13.2,6.8,3
338,0.18,38.52,2.03,0
339,0.39,21.18,3.62,2
340,0.23,20.31,3.17,1
341,0.12,19.16,2.49,2
342,0.29,16.79,3.63,3
343,0.28,28.9,3.67,1
344,0.31,18.31,2.15,2
345,0.11,40.98,1.77,0
346,0.29,27.77,2.37,1
347,0.19,47.93,1.87,0
348,0.22,33.75,2.89,1
349,0.17,19.69,2.81,1
350,0.08,30.77,2.22,0
